PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
7,404697408,145980268,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=C(C=C(C=C4C)C)C,Active,,,,0.13,IC50,=,130,nM,
8,404697454,145980298,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=CC=C4)Br,Active,,,,1.64,IC50,=,1640,nM,
9,404697989,145980641,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC(=CC=C3)Br,Active,,,,3.3,IC50,=,3300,nM,
10,404698268,145980817,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4Br,Active,,,,0.79,IC50,=,790,nM,
11,404699029,145981314,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC=CC=C3F,Unspecified,,,,116.9,IC50,=,116900,nM,Outside typical range
12,404699064,145981339,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=C(C=CC(=C4)Br)F,Active,,,,0.23,IC50,=,230,nM,
13,404699871,145981863,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=C(C=CC(=C4)Br)F,Active,,,,4.49,IC50,=,4490,nM,
14,404700360,145982182,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC(=C(C=C3)Cl)Cl,Active,,,,4.76,IC50,=,4760,nM,
15,404700746,145982419,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC(=C4)C,Active,,,,0.12,IC50,=,120,nM,
16,404703877,134601764,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC(=CC=C3)Cl,Active,,,,1.79,IC50,=,1790,nM,
17,404706820,145986691,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4F,Active,,,,0.67,IC50,=,670,nM,
18,404707179,145986923,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.045,IC50,=,45,nM,
19,404707232,145986960,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC=CC=C3Cl,Active,,,,0.78,IC50,=,780,nM,
20,404707274,145986989,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=C(C=C(C=C4)Br)F,Active,,,,0.86,IC50,=,860,nM,
21,404707381,145987054,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4OC,Active,,,,1.36,IC50,=,1360,nM,
22,404708202,145987586,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=CC=C4)Br,Active,,,,0.21,IC50,=,210,nM,
23,404708671,145987883,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC=CC=C3Br,Active,,,,1.4,IC50,=,1400,nM,
24,404708875,145988011,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=CC=C4)Cl,Active,,,,3.92,IC50,=,3920,nM,
25,404709167,145988191,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=CC(=C4)C)C,Active,,,,0.3,IC50,=,300,nM,
26,404709350,12297476,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC=CC=C3OC,Active,,,,4.71,IC50,=,4710,nM,
27,404709387,145988338,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4C,Active,,,,0.42,IC50,=,420,nM,
28,404709798,145988600,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=C(C=C(C=C3)Br)F,Active,,,,1.86,IC50,=,1860,nM,
29,404709878,145988652,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4Br,Active,,,,0.2,IC50,=,200,nM,
30,404710805,145989238,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=C(C=C4)Cl)Cl,Active,,,,1.24,IC50,=,1240,nM,
31,404712667,145990428,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=C(C=CC=C4F)F,Active,,,,0.094,IC50,=,94,nM,
32,404712849,145990546,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=C(C=CC=C4Cl)Cl,Active,,,,1.158,IC50,=,1158,nM,
33,404712875,145990560,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=C(C=CC(=C3)Br)F,Active,,,,2.19,IC50,=,2190,nM,
34,404712920,145990587,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4F,Active,,,,0.15,IC50,=,150,nM,
35,404713294,46172351,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C3=CC=C(C=C3)Cl,Active,,,,2.49,IC50,=,2490,nM,
36,404713387,145990898,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4Cl,Active,,,,1.86,IC50,=,1860,nM,
37,404715034,145991963,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4OC,Active,,,,0.21,IC50,=,210,nM,
38,404715771,145992428,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=C(C=C(C=C4)Br)F,Active,,,,2.32,IC50,=,2320,nM,
39,404716462,145992873,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=C(C=C4)Cl)Cl,Active,,,,0.13,IC50,=,130,nM,
