PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,174486511,71655374,CC1=NC(=NC(=N1)N2CCC(CC2)C(=O)NCC3=CC=CC=C3OC(F)(F)F)NC,Active,,,,1,IC50,=,1000,nM,Potential transcription error
7,174491523,25261457,CC1=NC(=NC(=N1)N2CCC(CC2)C(=O)NCC3=C(C=C(C=C3)F)C(F)(F)F)NC,Active,,,,3,IC50,=,3000,nM,Potential transcription error
8,174522402,59447733,CC1=NC(=NC(=N1)N2CCC(CC2)C(=O)NCC3=CC=CC=C3C(F)(F)F)NC,Active,,,,3,IC50,=,3000,nM,Potential transcription error
9,336892388,127042148,CCC(CC1=CC=C(C=C1)C(=O)NCC2=C(C=C(C=C2)OC)C(F)(F)F)C(=O)O,Active,,,,0.3,IC50,=,300,nM,
10,336904845,59448236,CC1=NC(=NC(=N1)N[C@H]2CCC[C@H](C2)C(=O)NCC3=C(C=C(C=C3)C#N)C(F)(F)F)NC,Active,,,,0.0007,IC50,=,0.7,nM,
11,440169802,155545668,C1=CC=C2C(=C1)N=C(S2)OC3=CC(=C(C=C3)CC(=O)NCCC4=CC=C(C=C4)F)F,Active,,,,0.13,IC50,=,130,nM,
12,461516052,162644072,CC(C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=C(C=C3)C(F)(F)F)N(C(=O)N)O,Active,,,,0.0027,IC50,=,2.7,nM,
13,461518163,162645568,CC(C#CC1=CC=C(C=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,2.6,IC50,=,2600,nM,
14,461520367,162647159,CC(C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2OC(F)(F)F)N(C(=O)N)O,Active,,,,0.016,IC50,=,16,nM,
15,461521366,162647852,C1=CC=C(C(=C1)CNC(=O)C2=CC=CC(=C2)C#CCN(C(=O)N)O)C(F)(F)F,Active,,,,0.05,IC50,=,50,nM,
16,461521746,162648110,CC(C#CC1=CC(=CC=C1)C(=O)NCC2=C(C=C(C=C2)F)C(F)(F)F)N(C(=O)N)O,Active,,,,0.029,IC50,=,29,nM,
17,461521947,162648254,CC(C#CC1=CC(=CC=C1)C(=O)NCCC2=CC=C(C=C2)F)N(C(=O)N)O,Active,,,,1.2,IC50,=,1200,nM,
18,461522113,162648382,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N)N(C(=O)N)O,Active,,,,0.0024,IC50,=,2.4,nM,
19,461522614,162648721,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC(=C(C=C3)Cl)Cl)N(C(=O)N)O,Active,,,,0.0021,IC50,=,2.1,nM,
20,461522896,162648918,CC(C)CC(C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.005,IC50,=,5,nM,
21,461523458,162649311,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)F)N(C(=O)N)O,Active,,,,0.0016,IC50,=,1.6,nM,
22,461523804,162649555,CC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)C#CC(C)N(C(=O)N)O,Active,,,,3.1,IC50,=,3100,nM,
23,461525161,156895576,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCN(C2=CC=CC=C2)C3=CC=CC=C3)N(C(=O)N)O,Active,,,,0.005,IC50,=,5,nM,
24,461528787,162653011,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCC[C@H](C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)F)N(C(=O)N)O,Active,,,,0.003,IC50,=,3,nM,
25,461530742,162654401,C[C@@H](C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.06,IC50,=,60,nM,
26,461531151,162654678,CC(C)C(C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.011,IC50,=,11,nM,
27,461532465,162655592,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=C(C=C2)OC(F)(F)F)C3=CC=C(C=C3)F)N(C(=O)N)O,Active,,,,0.0024,IC50,=,2.4,nM,
28,461533881,162656584,CC(C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=C(C=C3)OC(F)(F)F)N(C(=O)N)O,Active,,,,0.007,IC50,=,7,nM,
29,461535526,162657751,CC(C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl)N(C(=O)N)O,Active,,,,0.002,IC50,=,2,nM,
30,461536006,162658094,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=C(C=C3)NS(=O)(=O)C)N(C(=O)N)O,Active,,,,0.003,IC50,=,3,nM,
31,461536910,162658743,CC(C#CC1=CC=C(O1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.6,IC50,=,600,nM,
32,461540529,162661272,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.06,IC50,=,60,nM,
33,461541100,162661670,CC(C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=CC=C3)N(C(=O)N)O,Active,,,,0.002,IC50,=,2,nM,
34,461544626,156895548,CC(C#CC1=CC(=CC=C1)C(=O)NCC2=C(C=C(C=C2)Cl)Cl)N(C(=O)N)O,Active,,,,0.04,IC50,=,40,nM,
35,461545681,162664902,CCC(C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.022,IC50,=,22,nM,
36,461546133,162665217,CC(C#CC1=CC(=CC=C1)C(=O)NCCC2=CNC3=CC=CC=C32)N(C(=O)N)O,Active,,,,3.1,IC50,=,3100,nM,
37,461553732,162670504,CC(C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.09,IC50,=,90,nM,
38,461555529,162671771,CC(C#CC1=CC(=CC=C1)C(=O)NCC2=C(C=C(C=C2)OC)C(F)(F)F)N(C(=O)N)O,Active,,,,0.004,IC50,=,4,nM,
39,461556212,162672280,CC(C#CC1=CC(=CN=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.5,IC50,=,500,nM,
40,461558906,162674168,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCC[C@@H](C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)F)N(C(=O)N)O,Active,,,,0.003,IC50,=,3,nM,
41,461559146,162674350,CC(C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=CC=C2)C3=CC=C(C=C3)F)N(C(=O)N)O,Active,,,,0.002,IC50,=,2,nM,
42,461561136,162675757,CCCC(C#CC1=CC(=CC=C1)C(=O)NCC2=CC=CC=C2C(F)(F)F)N(C(=O)N)O,Active,,,,0.012,IC50,=,12,nM,
43,461562148,156895571,C[C@H](C#CC1=CC(=CC=C1)C(=O)NCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)N(C(=O)N)O,Active,,,,0.0012,IC50,=,1.2,nM,
44,461563142,162677178,CC(C#CC1=CC(=CC=C1)C(=O)NCC2=CC(=CC=C2)F)N(C(=O)N)O,Active,,,,9,IC50,=,9000,nM,
