PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
9,103360526,10492504,CC1CN(NC(=O)N1)C2=CC=CC(=C2)C3=CC=CS3,Active,,,,2.8,IC50,=,2800,nM,
10,103360539,10679286,CC1=NC(=CC=C1)N2CCNC(=O)N2,Active,,,,5.5,IC50,=,5500,nM,
11,103360563,10655855,CC1CN(NC(=O)N1)C2=CC=CC(=C2)C,Unspecified,,,,19,IC50,=,19000,nM,
12,103360564,10799651,CCCCC1CN(NC(=O)N1)C2=CC=CC=C2,Active,,,,1.5,IC50,=,1500,nM,
13,103360565,10845994,CC1CN(NC(=O)N1O)C2=CC=CC=C2,Active,,,,6,IC50,=,6000,nM,
14,103360566,10563230,C1CN(NC(=O)N1)C2=CC=CC(=C2)C3=CC=CS3,Active,,,,2.1,IC50,=,2100,nM,
15,103360568,10562889,C1CN(NC(=O)N1)C2=CC=CC(=C2)C3=CC=NC=C3,Unspecified,,,,30,IC50,=,30000,nM,
16,103360577,10678884,C1CN(NC(=O)N1)C2=CC=NC=C2,Unspecified,,,,32,IC50,=,32000,nM,
17,103360596,10059051,C1CN(NC(=O)N1)C2=NC(=CC=C2)Cl,Active,,,,5.6,IC50,=,5600,nM,
18,103360613,10848542,C1CN(NC(=O)N1)C2=CC=CC(=C2)C3=CC=CC=N3,Unspecified,,,,30,IC50,=,30000,nM,
19,103360614,10726964,CC1CN(NC(=O)N1)C2=CC=CC(=N2)C,Active,,,,3.8,IC50,=,3800,nM,
20,103360625,10588079,CC1CN(NC(=O)N1)C2=CC(=CC=C2)Br,Active,,,,2.6,IC50,=,2600,nM,
21,103360626,10751689,CC1CN(NC(=O)N1)C2=CC(=CC=C2)Cl,Active,,,,2.7,IC50,=,2700,nM,
22,103360646,10632239,CC1CN(NC(=O)N1)C2=NC(=CC=C2)F,Active,,,,6.6,IC50,=,6600,nM,
23,103360669,10513206,C1CN(NC(=O)N1)C2=CC(=CC=C2)[N+](=O)[O-],Unspecified,,,,49,IC50,=,49000,nM,
24,103360750,10702459,C1CN(NC(=O)N1)C2=CC=CC=N2,Unspecified,,,,26,IC50,=,26000,nM,
25,103360757,10798287,CC1(CN(NC(=O)N1)C2=CC=CC=C2)C,Active,,,,6.8,IC50,=,6800,nM,
26,103360758,10726380,CC1CN(NC(=O)N1)C2=CC=CC=C2,Unspecified,,,,11,IC50,=,11000,nM,
27,103360759,10750265,C1CN(NC(=O)N1)C2=CC=CC(=C2)N,Unspecified,,,,178,IC50,=,178000,nM,Outside typical range
28,103360763,10607809,C1CN(NC(=O)N1)C2=CC(=CC=C2)O,Unspecified,,,,32,IC50,=,32000,nM,
29,103360765,10826834,C1CN(NC(=O)N1)C2=CC(=CC=C2)OCC3=CC=CC=C3,Active,,,,1.1,IC50,=,1100,nM,
30,103360766,10797791,CC1=CC=CC=C1N2CCNC(=O)N2,Unspecified,,,,386,IC50,=,386000,nM,Outside typical range
31,103360767,10822398,C1CN(NC(=O)N1)C2=CC(=CC=C2)Cl,Active,,,,5.3,IC50,=,5300,nM,
32,103360773,10655856,CCN1CCN(NC1=O)C2=CC=CC=C2,Unspecified,,,,32,IC50,=,32000,nM,
33,103360778,10824904,C1CN(NC(=O)N1)C2=CC=CC(=N2)C3=CC=CC=N3,Active,,,,6,IC50,=,6000,nM,
34,103360779,10539265,C1CN(NC(=O)N1)C2=CC=CC(=N2)C3=CC=CS3,Active,,,,8.2,IC50,=,8200,nM,
35,103360817,10848924,C1CN(NC(=O)N1)C2=CC=CC(=C2)C3=NC=CS3,Unspecified,,,,35,IC50,=,35000,nM,
36,103360827,10513083,CC(C)C1CN(NC(=O)N1)C2=CC=CC=C2,Active,,,,6.8,IC50,=,6800,nM,
37,103360828,10726930,CCC1CN(NC(=O)N1)C2=CC=CC=C2,Active,,,,6.9,IC50,=,6900,nM,
38,103360907,10488467,CCC1=CC(=CC=C1)N2CCNC(=O)N2,Unspecified,,,,13,IC50,=,13000,nM,
39,103360941,10729840,CC1CN(NC(=O)N1)C2=CC=CC(=C2)C3=CC=CO3,Active,,,,4.8,IC50,=,4800,nM,
40,103360942,10658954,C1CN(NC(=O)N1)C2=CC=CC(=C2)C3=CSC=C3,Active,,,,4.9,IC50,=,4900,nM,
41,103360943,10799690,C1CN(NC(=O)N1)C2=NC3=CC=CC=C3S2,Unspecified,,,,32,IC50,=,32000,nM,
42,103360978,10633035,CC1CN(NC(=O)N1)C2=NC(=CC=C2)Cl,Active,,,,3.5,IC50,=,3500,nM,
43,103360979,10655964,COC1=CC=CC(=N1)N2CCNC(=O)N2,Active,,,,9.5,IC50,=,9500,nM,
44,103360980,10751283,C1CN(NC(=O)N1)C2=NC3=CC=CC=C3O2,Unspecified,,,,32,IC50,=,32000,nM,
45,103360991,10130205,C1CN(NC(=O)N1)C2=CC=CC=C2,Unspecified,,,,21,IC50,=,21000,nM,
46,103360996,10798630,C1CN(NC(=O)N1)C2=CC(=CC(=C2)F)F,Active,,,,8.9,IC50,=,8900,nM,
47,103360997,10607736,CC1=CC=C(C=C1)N2CCNC(=O)N2,Unspecified,,,,300,IC50,=,300000,nM,Outside typical range
48,103361005,10443576,CSC1=CC=CC(=C1)N2CCNC(=O)N2,Unspecified,,,,14,IC50,=,14000,nM,
49,103361006,10849293,COCCOCC1CN(NC(=O)N1)C2=CC=CC=C2,Unspecified,,,,14,IC50,=,14000,nM,
50,103361008,10679836,C1C(NC(=O)NN1C2=CC=CC=C2)CO,Unspecified,,,,40,IC50,=,40000,nM,
51,103361022,10655329,CC1=CC(=CC=C1)N2CCNC(=O)N2,Unspecified,,,,15,IC50,=,15000,nM,
52,103361023,10634792,C1CN(NC(=O)N1)C2=CC(=CC=C2)Br,Active,,,,4.9,IC50,=,4900,nM,
53,103361024,10774620,CC1=CC(=CC(=C1)N2CCNC(=O)N2)C,Unspecified,,,,12,IC50,=,12000,nM,
54,103361070,10560255,COC1=CC=CC(=C1)N2CCNC(=O)N2,Unspecified,,,,47,IC50,=,47000,nM,
55,103361071,10824250,C1CN(NC(=O)N1)C2=CC=CC(=C2)C(F)(F)F,Unspecified,,,,17,IC50,=,17000,nM,
56,103361105,10822291,CC1CN(NC(=O)N1)C2=CC(=CC=C2)F,Active,,,,6.3,IC50,=,6300,nM,
57,103361407,10513218,CC1CN(NC(=O)N1)C2=NC(=CC=C2)OC,Active,,,,5.5,IC50,=,5500,nM,
58,103361435,10704537,C1CN(NC(=O)N1)C2=CC3=CC=CC=C3N=C2,Unspecified,,,,32,IC50,=,32000,nM,
59,103361436,10801476,C1CN(NC(=O)N1)C2=C3C=CC(=CC3=NC=C2)Cl,Unspecified,,,,32,IC50,=,32000,nM,
60,103361438,10849702,CC1CN(NC(=O)N1)C2=NC(=CC=C2)Br,Active,,,,2.4,IC50,=,2400,nM,
61,103361454,10587216,C1CN(NC(=O)N1)C2=NC(=CC=C2)Br,Active,,,,3.5,IC50,=,3500,nM,
62,103361532,10845542,C1CN(NC(=O)N1)C2=NC(=CC=C2)F,Active,,,,9.1,IC50,=,9100,nM,
63,103361533,10704214,CC1CN(NC(=O)N1O)C2=CC=CC(=C2)C,Active,,,,8.4,IC50,=,8400,nM,
