PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
7,103324131,10810644,CC1=CC(=CC(=N1)C)C2=C(N=CN2CCCN3CCOCC3)C4=CC=C(C=C4)F,Unspecified,,,,25,IC50,=,25000,nM,
8,103359631,10764388,C1COCCN1CCCN2C=NC(=C2C3=CC=NC4=CC=CC=C34)C5=CC=C(C=C5)F,Active,,,,9,IC50,=,9000,nM,
9,103359635,10761882,C1=CC=C(C=C1)OCCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.07,IC50,=,70,nM,
10,103359637,10544044,CCOCCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,0.1,IC50,=,100,nM,
11,103359638,10424642,C1=CC(=CC=C1C2=C(N(C=N2)CCCN)C3=CC=NC=C3)F,Active,,,,0.15,IC50,=,150,nM,
12,103359655,10732636,CC(C)(C)N1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,4.74,IC50,=,4740,nM,
13,103359701,10546529,CSC1=CC=CC=C1N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.08,IC50,=,80,nM,
14,103359712,10546528,CSC1=CC=CC(=C1)N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.12,IC50,=,120,nM,
15,103359736,10619604,CS(=O)C1=CC=CC(=C1)N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.52,IC50,=,520,nM,
16,103359757,10091003,CS(=O)C1=CC=C(C=C1)N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.75,IC50,=,750,nM,
17,103359758,10473755,CSC1=CC=C(C=C1)N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,1.47,IC50,=,1470,nM,
18,103359801,44350992,C1=CC(=CC=C1C2=C(N(C=N2)CCCC(=O)O)C3=CC=NC=C3)F,Active,,,,3.83,IC50,=,3830,nM,
19,103359802,10640817,COC(=O)CCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,0.29,IC50,=,290,nM,
20,103359865,11793277,C1COCCN1CCCN2C=NC(=C2C3=CC=CC=N3)C4=CC=C(C=C4)F,Active,,,,6.46,IC50,=,6460,nM,
21,103359928,10802774,CC(C)N1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,0.12,IC50,=,120,nM,
22,103359969,10468825,C1CC1N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.08,IC50,=,80,nM,
23,103359970,10250393,CN(CCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F)CC4=CC=CC=C4,Active,,,,0.13,IC50,=,130,nM,
24,103360004,10619769,C1COCCN1CCCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.48,IC50,=,480,nM,
25,103360008,10739789,C1COCCN1CCCN2C=NC(=C2C3=CC(=NC=C3)Cl)C4=CC=C(C=C4)F,Active,,,,1.89,IC50,=,1890,nM,
26,103360012,10668078,C1=CC=C(C=C1)SCCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.08,IC50,=,80,nM,
27,103360015,10600891,C1COCCN1CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Unspecified,,,,114,IC50,=,114000,nM,Outside typical range
28,103360033,10598040,C1COCCN1CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC(=C(C=C4)Cl)Cl,Active,,,,0.32,IC50,=,320,nM,
29,103360058,44351098,CSC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC(=CC=C4)F,Active,,,,0.34,IC50,=,340,nM,
30,103360062,10525635,CS(=O)C1=CC=CC(=C1)C2=C(N(C=N2)CCCN3CCOCC3)C4=CC=NC=C4,Active,,,,4.95,IC50,=,4950,nM,
31,103360066,10621826,C1COCCN1CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)C(F)(F)F,Active,,,,2.98,IC50,=,2980,nM,
32,103360067,10525956,C1COCCN1CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC(=CC=C4)C(F)(F)F,Active,,,,0.46,IC50,=,460,nM,
33,103360074,10316729,C1CCN(CC1)CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,1.17,IC50,=,1170,nM,
34,103360075,10043599,CCN(CC)CCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,0.27,IC50,=,270,nM,
35,103360234,10689819,CS(=O)(=O)CCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,0.51,IC50,=,510,nM,
36,103360235,10665080,CS(=O)CCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,1.4,IC50,=,1400,nM,
37,103360254,10622085,C1=CC=C(C=C1)S(=O)(=O)CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,1.81,IC50,=,1810,nM,
38,103360255,10644982,C1=CC=C(C=C1)S(=O)CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.63,IC50,=,630,nM,
39,103360266,10087844,CSCCCN1C=NC(=C1C2=CC=NC=C2)C3=CC=C(C=C3)F,Active,,,,0.19,IC50,=,190,nM,
40,103360382,44351236,CC1=NC=CC(=C1)C2=C(N=C(N2)C3=CC=C(C=C3)S(=O)C)C4=CC(=CC=C4)F,Active,,,,0.37,IC50,=,370,nM,
41,103360383,10572721,CSC1=CC=CC(=C1)C2=C(N(C=N2)CCCN3CCOCC3)C4=CC=NC=C4,Active,,,,0.29,IC50,=,290,nM,
42,103360384,10762497,C1COCCN1CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC(=CC=C4)Cl,Active,,,,0.21,IC50,=,210,nM,
43,103360411,10066478,C1CCN(C1)CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.34,IC50,=,340,nM,
44,103360436,10595057,C1COCCN1CCCN2C=NC(=C2C3=CN=CC=C3)C4=CC=C(C=C4)F,Unspecified,,,,64.7,IC50,=,64700,nM,
45,103360438,10643315,CS(=O)C1=CC=CC=C1N2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.71,IC50,=,710,nM,
46,103360443,10452739,C1=CC=C(C=C1)CNCCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.07,IC50,=,70,nM,
47,103360445,9819884,C1COCCN1CCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.76,IC50,=,760,nM,
48,103360459,10523894,C1COCCN1CCCN2C=NC(=C2C3=CC(=NC=C3)N)C4=CC=C(C=C4)F,Active,,,,1.18,IC50,=,1180,nM,
