PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,103224755,10338556,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4C(=O)O,Unspecified,,,,42,IC50,=,42000,nM,
7,103224973,10403470,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=CC=CC=C4,Unspecified,,,,64,IC50,=,64000,nM,
8,103224974,11724159,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(=O)C4=CC=CC=C4,Unspecified,,,,43,IC50,=,43000,nM,
9,103224984,10020643,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=C(C=CC(=C4)O)O,Active,,,,7,IC50,=,7000,nM,
10,103225088,2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,79,IC50,=,79000,nM,
11,103225122,10043326,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=C(C=C(C=C4)O)O,Unspecified,,,,16,IC50,=,16000,nM,
12,103225326,10019527,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCC4=CC=CC=C4,Unspecified,,,,110,IC50,=,110000,nM,Outside typical range
13,103225362,10043109,CC1=CC=C(C=C1)C(=O)C2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O,Unspecified,,,,40,IC50,=,40000,nM,
14,103225383,10043325,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=CC(=C(C=C4)O)O,Active,,,,4,IC50,=,4000,nM,
15,103225402,10020641,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=C(C=CC(=C4)O)O,Active,,,,3,IC50,=,3000,nM,
16,103225420,10248938,COC1=CC(=C(C=C1)CC2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O)OC,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
17,103225421,10088123,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=CC=C(C=C4)O,Unspecified,,,,14,IC50,=,14000,nM,
18,103225498,10337793,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=C(C=C(C=C4)O)O,Unspecified,,,,16,IC50,=,16000,nM,
19,103225523,10335901,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4,Unspecified,,,,98,IC50,=,98000,nM,
20,103225525,10449418,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4O,Unspecified,,,,25,IC50,=,25000,nM,
21,103225611,10022396,COC1=CC(=C(C=C1)OC)CC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
22,103225791,10337672,COC1=CC=C(C=C1)CC2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O,Unspecified,,,,33,IC50,=,33000,nM,
23,103225807,10471814,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)C(=O)C4=CC=CC=C4,Unspecified,,,,40,IC50,=,40000,nM,
24,103225811,10428583,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)C(=O)O,Unspecified,,,,62,IC50,=,62000,nM,
25,103226144,10042373,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)O,Unspecified,,,,43,IC50,=,43000,nM,
26,103226145,9865299,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC(=C(C(=C4)O)O)O,Active,,,,5,IC50,=,5000,nM,
27,103226146,10451147,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC=C(C=C4)O,Unspecified,,,,50,IC50,=,50000,nM,
28,103226191,10020642,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC(=C(C=C4)O)O,Active,,,,4,IC50,=,4000,nM,
